symbol,exchange,shares_outstanding,public_float,short_interest_date,shares_sold_short,change_from_last,percent_of_float
A,NYSE,306850000.0,305360000.0,12/31/20,2500000.0,-22.12,0.82
AA,NYSE,185930000.0,184720000.0,12/31/20,8820000.0,-11.18,4.77
AAA,ARCA,400000.0,,12/31/20,3619.0,-2.74,
AAAU,ARCA,28030000.0,,12/31/20,107103.0,366.01,
AACG,NASDAQ,31350000.0,,12/31/20,3790.0,36.28,
AACQ,NASDAQ,72450000.0,,12/31/20,204819.0,47.84,
AACQU,NASDAQ,72450000.0,,12/31/20,2142.0,-75.29,
AADR,ARCA,1300000.0,,12/31/20,17469.0,64.32,
AAIC,NYSE,35020000.0,32380000.0,12/31/20,868848.0,4.46,2.68
AAIC.PRB,NYSE,343839.0,,12/31/20,1313.0,-29.67,
AAIC.PRC,NYSE,1170000.0,,12/31/20,1338.0,17.68,
AAL,NASDAQ,547130000.0,598890000.0,12/31/20,171340000.0,6.54,28.61
AAMC,AMEX,1650000.0,554066.0,12/31/20,6731.0,43.95,1.21
AAME,NASDAQ,20410000.0,3600000.0,12/31/20,5271.0,117.63,0.15
AAN,NYSE,33780000.0,33090000.0,12/31/20,723842.0,-17.66,2.19
AAOI,NASDAQ,22980000.0,21180000.0,12/31/20,4080000.0,-5.35,19.29
AAON,NASDAQ,52260000.0,41230000.0,12/31/20,3640000.0,-2.43,8.83
AAP,NYSE,67850000.0,67520000.0,12/31/20,2810000.0,-4.99,4.17
AAPL,NASDAQ,16820000000.0,16809999999.0,12/31/20,91090000.0,-3.83,0.54
AAT,NYSE,60280000.0,47900000.0,12/31/20,995473.0,35.44,2.08
AAU,AMEX,120550000.0,114960000.0,12/31/20,403332.0,-23.34,0.35
AAWW,NASDAQ,26140000.0,27090000.0,12/31/20,3180000.0,9.81,11.73
AAXJ,NASDAQ,67400000.0,,12/31/20,2100000.0,134.28,
AAXN,NASDAQ,63550000.0,62200000.0,12/31/20,2860000.0,-8.18,4.6
AB,NYSE,96070000.0,92450000.0,12/31/20,239581.0,2.09,0.26
ABB,NYSE,,,12/31/20,5510000.0,2.47,
ABBV,NYSE,1770000000.0,1760000000.0,12/31/20,13330000.0,-3.7,0.76
ABC,NYSE,204690000.0,147340000.0,12/31/20,2640000.0,-0.97,1.79
ABCB,NASDAQ,69490000.0,65709999.0,12/31/20,1960000.0,8.33,2.99
ABCL,NASDAQ,265570000.0,152290000.0,12/31/20,3630000.0,281.62,2.39
ABCM,NASDAQ,225170000.0,,12/31/20,228510.0,-19.8,
ABEO,NASDAQ,98530000.0,83210000.0,12/31/20,2680000.0,19.12,3.22
ABEQ,ARCA,1480000.0,,12/31/20,21180.0,169.95,
ABEV,NYSE,15740000000.0,,12/31/20,69690000.0,2.6,
ABG,NYSE,19290000.0,19070000.0,12/31/20,2170000.0,-6.78,11.36
ABIO,NASDAQ,9320000.0,9280000.0,12/31/20,126649.0,208.21,1.36
ABM,NYSE,66760000.0,65500000.0,12/31/20,864120.0,-0.14,1.32
ABMD,NASDAQ,45190000.0,44200000.0,12/31/20,2100000.0,8.87,4.76
ABNB,NASDAQ,103680000.0,81510000.0,12/31/20,7960000.0,372.22,9.76
ABR,NYSE,123400000.0,115720000.0,12/31/20,5230000.0,2.84,4.52
ABR.PRA,NYSE,1550000.0,,11/30/20,651.0,-66.5,
ABR.PRB,NYSE,,,12/31/20,1308.0,-38.59,
ABR.PRC,NYSE,,,12/31/20,1119.0,4.29,
ABST,NASDAQ,42570000.0,46380000.0,12/31/20,767461.0,21.03,1.65
ABT,NYSE,1770000000.0,1760000000.0,12/31/20,9940000.0,11.93,0.57
ABTX,NASDAQ,20450000.0,18800000.0,12/31/20,344615.0,12.3,1.83
ABUS,NASDAQ,84910000.0,62140000.0,12/31/20,4820000.0,63.54,7.75
AC,NYSE,3340000.0,3280000.0,12/31/20,52784.0,2.32,1.61
ACA,NYSE,48270000.0,47700000.0,12/31/20,636831.0,15.62,1.34
ACAC,NASDAQ,21530000.0,,12/31/20,1696.0,0.0,
ACACU,NASDAQ,21530000.0,,12/31/20,5414.0,32.73,
ACAD,NASDAQ,158980000.0,158610000.0,12/31/20,6330000.0,-9.93,3.99
ACAM,NASDAQ,,29630000.0,12/31/20,327038.0,8.34,1.1
ACAMU,NASDAQ,,30560000.0,12/31/20,1105.0,590.63,0.0
ACB,NYSE,183660000.0,182240000.0,12/31/20,34390000.0,-5.88,18.87
ACBI,NASDAQ,21200000.0,19990000.0,12/31/20,204775.0,2.76,1.02
ACC,NYSE,137630000.0,136560000.0,12/31/20,3570000.0,-15.51,2.61
ACCD,NASDAQ,55320000.0,33479999.0,12/31/20,4270000.0,39.93,12.77
ACCO,NYSE,94500000.0,91190000.0,12/31/20,3880000.0,-6.1,4.25
ACEL,NYSE,91780000.0,53300000.0,12/31/20,2950000.0,20.84,5.53
ACER,NASDAQ,12290000.0,7480000.0,12/31/20,365770.0,-12.09,4.89
ACET,NASDAQ,19630000.0,15710000.0,12/31/20,164219.0,10.51,1.05
ACEV,NASDAQ,23000000.0,,12/31/20,96305.0,-17.64,
ACEVU,NASDAQ,20000000.0,,12/31/20,153.0,-92.93,
ACGL,NASDAQ,405970000.0,393470000.0,12/31/20,4220000.0,14.68,1.07
ACGLO,NASDAQ,,,12/31/20,5098.0,-71.78,
ACGLP,NASDAQ,,,12/31/20,7504.0,-12.53,
ACH,NYSE,,,12/31/20,13184.0,-17.35,
ACHC,NASDAQ,88990000.0,87280000.0,12/31/20,5680000.0,-7.63,6.5
ACHV,NASDAQ,3620000.0,3230000.0,12/31/20,482617.0,-2.98,14.92
ACI,NYSE,465530000.0,68250000.0,12/31/20,19820000.0,0.95,29.04
ACIA,NASDAQ,42360000.0,39060000.0,12/31/20,2700000.0,-2.5,6.92
ACIC,NYSE,50000000.0,,12/31/20,252024.0,,
ACIU,NASDAQ,71860000.0,38420000.0,12/31/20,1280000.0,-0.09,3.33
ACIW,NASDAQ,116390000.0,113680000.0,12/31/20,3830000.0,-13.26,3.37
ACKIU,NASDAQ,13800000.0,9990000.0,12/31/20,10253.0,,0.1
ACLS,NASDAQ,33500000.0,32360000.0,12/31/20,791915.0,16.86,2.45
ACM,NYSE,150760000.0,145900000.0,12/31/20,2390000.0,-14.94,1.64
ACMR,NASDAQ,16660000.0,12120000.0,12/31/20,1090000.0,1.14,8.96
ACN,NYSE,661140000.0,659330000.0,12/31/20,4360000.0,3.19,0.66
ACNB,NASDAQ,8700000.0,8350000.0,12/31/20,71873.0,-9.08,0.86
ACND,NYSE,41400000.0,,12/31/20,135162.0,19.54,
